day,date,crude,natgas,sugar_us,platinum,silver,gold,DJIA,NASDAQ,S&P500
Fr,10/27/2023,90.66,3.382,0.2753,908,22.9167,1970.97,33414.17,13186.17,4278
Th,10/26/2023,89.81,3.376,0.2748,890.34,22.9775,1972.85,33665.08,13314.3,4314.6
We,10/25/2023,89.5,3.338,0.2685,898.3,23.3747,1981.4,33997.65,13533.75,4373.2
Tu,10/24/2023,88.69,3.166,0.2729,899.61,23.0452,1974.46,33984.54,13567.98,4373.63
Mo,10/23/2023,90.86,2.962,0.2748,895.15,22.8415,1947.55,33670.29,13407.23,4327.78
Fr,10/20/2023,94.64,2.949,0.2749,887.95,22.8092,1923.18,33631.14,13574.22,4349.61
Th,10/19/2023,95.24,2.84,0.2705,899.65,22.6145,1920.2,33804.87,13659.68,4376.95
We,10/18/2023,93.83,2.929,0.2703,895.35,22.7202,1932.82,33739.3,13562.84,4358.24
Tu,10/17/2023,93.52,2.945,0.2635,884.13,21.8294,1868.9,33604.65,13484.24,4335.66
Mo,10/16/2023,92.55,2.764,0.264,870.68,22.0375,1874.36,33407.58,13431.34,4308.5
Fr,10/13/2023,90.17,2.656,0.2705,890.57,21.8421,1860.4,33119.57,13219.83,4258.19
Th,10/12/2023,88.61,2.639,0.2718,886.28,21.88,1861.41,33129.55,13236.01,4263.75
We,10/11/2023,89.25,2.637,0.2674,890.22,21.6032,1833.01,33002.38,13059.47,4229.45
Tu,10/10/2023,90.19,2.733,0.2616,881.56,20.9734,1820.3,33433.35,13307.77,4288.39
Mo,10/9/2023,88.89,2.848,0.2593,864.01,21.01,1821.36,33507.5,13219.32,4288.05
Fr,10/6/2023,86.26,2.728,0.2567,869.78,21.1731,1823.02,33666.34,13201.28,4299.7
Th,10/5/2023,87.5,2.644,0.2635,871.79,21.045,1828.03,33550.27,13092.85,4274.51
We,10/4/2023,91.88,2.708,0.2627,881.7,22.1795,1848.63,33618.88,13063.61,4273.53
Tu,10/3/2023,93.01,2.68,0.2673,907.9,22.6238,1864.87,34006.88,13271.32,4337.44
Mo,10/2/2023,92.68,2.743,0.2613,910.79,22.5456,1875.12,33963.84,13211.81,4320.06
Fr,9/29/2023,92.93,2.608,0.2602,892.16,22.8491,1900.65,34070.42,13223.99,4330
Th,9/28/2023,93.52,2.605,0.2631,907.63,23.1388,1915.92,34440.88,13469.13,4402.2
We,9/27/2023,94.12,2.579,0.2697,914.73,23.5616,1925.23,34517.73,13678.19,4443.95
Tu,9/26/2023,91.37,2.51,0.2693,930.72,23.401,1920.02,34624.3,13710.24,4453.53
Mo,9/25/2023,93.62,2.582,0.2679,922.01,23.2387,1930.3,34618.24,13708.33,4450.32
Fr,9/22/2023,94.58,2.765,0.2744,930.82,23.2005,1931.36,34907.11,13926.05,4505.1
Th,9/21/2023,93.57,2.768,0.2711,944.35,23.2434,1933.84,34575.53,13813.58,4467.44
We,9/20/2023,94.7,2.796,0.2691,937.54,23.0361,1923.91,34645.99,13773.63,4461.9
Tu,9/19/2023,95.37,2.556,0.2698,929.69,22.6491,1910.79,34663.72,13917.91,4487.46
Mo,9/18/2023,96.02,2.54,0.2654,911.95,22.838,1908.12,34576.59,13761.53,4457.49
